+---------------------------------------+------+------+--------------------------------+----------+
| NOTE: The Block ID is for very specific low-level purposes only!                                |
| It WILL be different in every world since Minecraft 1.7,                                        |
| because they are dynamically allocated by the game!                                             |
+---------------------------------------+------+------+--------------------------------+----------+
| Registry name                         |   ID | meta | Display name                   |    Count |
| minecraft:torch                       |   50 |    1 | Torch                          |       12 |
| minecraft:torch                       |   50 |    2 | Torch                          |       10 |
| minecraft:torch                       |   50 |    3 | Torch                          |       49 |
| minecraft:torch                       |   50 |    4 | Torch                          |       10 |
| minecraft:torch                       |   50 |    5 | Torch                          |       26 |
| minecraft:trapdoor                    |   96 |    0 | Oak Trapdoor                   |        2 |
| minecraft:trapdoor                    |   96 |    2 | Oak Trapdoor                   |        2 |
| minecraft:trapdoor                    |   96 |    3 | Oak Trapdoor                   |        2 |
| minecraft:trapdoor                    |   96 |    4 | Oak Trapdoor                   |        4 |
| minecraft:trapdoor                    |   96 |    5 | Oak Trapdoor                   |        4 |
| minecraft:trapdoor                    |   96 |    6 | Oak Trapdoor                   |        2 |
| minecraft:trapdoor                    |   96 |    7 | Oak Trapdoor                   |        2 |
| minecraft:trapped_chest               |  146 |    2 | Oak Trapped Chest              |        7 |
| minecraft:trapped_chest               |  146 |    5 | Oak Trapped Chest              |        2 |
| minecraft:unlit_redstone_torch        |   75 |    4 | minecraft:unlit_redstone_torch |        1 |
| minecraft:unlit_redstone_torch        |   75 |    5 | minecraft:unlit_redstone_torch |       44 |
| minecraft:unpowered_comparator        |  149 |    1 | minecraft:unpowered_comparator |        6 |
| minecraft:unpowered_repeater          |   93 |    0 | minecraft:unpowered_repeater   |        1 |
| minecraft:unpowered_repeater          |   93 |    1 | minecraft:unpowered_repeater   |        6 |
| minecraft:unpowered_repeater          |   93 |    2 | minecraft:unpowered_repeater   |        1 |
| minecraft:vine                        |  106 |    0 | Vines                          |       96 |
| minecraft:vine                        |  106 |    1 | Vines                          |     2004 |
| minecraft:vine                        |  106 |    2 | Vines                          |     2029 |
| minecraft:vine                        |  106 |    3 | Vines                          |        5 |
| minecraft:vine                        |  106 |    4 | Vines                          |     2172 |
| minecraft:vine                        |  106 |    6 | Vines                          |        4 |
| minecraft:vine                        |  106 |    8 | Vines                          |     2154 |
| minecraft:vine                        |  106 |    9 | Vines                          |        6 |
| minecraft:vine                        |  106 |   12 | Vines                          |        9 |
| minecraft:wall_banner                 |  177 |    2 | minecraft:wall_banner          |        3 |
| minecraft:wall_banner                 |  177 |    3 | minecraft:wall_banner          |        3 |
| minecraft:wall_banner                 |  177 |    4 | minecraft:wall_banner          |        3 |
| minecraft:wall_banner                 |  177 |    5 | minecraft:wall_banner          |        3 |
| minecraft:water                       |    9 |    0 | minecraft:water                |   158480 |
| minecraft:water                       |    9 |    1 | minecraft:water                |     1251 |
| minecraft:water                       |    9 |    2 | minecraft:water                |      897 |
| minecraft:water                       |    9 |    3 | minecraft:water                |      768 |
| minecraft:water                       |    9 |    4 | minecraft:water                |      646 |
| minecraft:water                       |    9 |    5 | minecraft:water                |      583 |
| minecraft:water                       |    9 |    6 | minecraft:water                |      503 |
| minecraft:water                       |    9 |    7 | minecraft:water                |      451 |
| minecraft:water                       |    9 |    8 | minecraft:water                |      513 |
| minecraft:water                       |    9 |    9 | minecraft:water                |     1171 |
| minecraft:water                       |    9 |   10 | minecraft:water                |      336 |
| minecraft:water                       |    9 |   11 | minecraft:water                |       95 |
| minecraft:water                       |    9 |   12 | minecraft:water                |       55 |
| minecraft:water                       |    9 |   13 | minecraft:water                |       19 |
| minecraft:water                       |    9 |   14 | minecraft:water                |       23 |
| minecraft:water                       |    9 |   15 | minecraft:water                |       25 |
| minecraft:waterlily                   |  111 |    0 | Lily Pad                       |      783 |
| minecraft:web                         |   30 |    0 | Cobweb                         |     1438 |
| minecraft:wheat                       |   59 |    0 | minecraft:wheat                |        1 |
| minecraft:wooden_button               |  143 |    1 | Oak Button                     |        2 |
| minecraft:wooden_button               |  143 |    2 | Oak Button                     |        2 |
| minecraft:wooden_door                 |   64 |    0 | minecraft:wooden_door          |        1 |
| minecraft:wooden_door                 |   64 |    3 | minecraft:wooden_door          |        1 |
| minecraft:wooden_door                 |   64 |    9 | minecraft:wooden_door          |        2 |
| minecraft:wooden_slab                 |  126 |    0 | Oak Wood Slab                  |       44 |
| minecraft:wooden_slab                 |  126 |    1 | Spruce Wood Slab               |       30 |
| minecraft:wooden_slab                 |  126 |    5 | Dark Oak Wood Slab             |       28 |
| minecraft:wooden_slab                 |  126 |    8 | Oak Wood Slab                  |        4 |
| minecraft:wooden_slab                 |  126 |    9 | Spruce Wood Slab               |       12 |
| minecraft:wooden_slab                 |  126 |   13 | Dark Oak Wood Slab             |       17 |
| minecraft:wool                        |   35 |    0 | White Wool                     |       50 |
| minecraft:wool                        |   35 |   15 | Black Wool                     |       12 |
| minecraft:yellow_flower               |   37 |    0 | Dandelion                      |      363 |
| natura:barley_crop                    | 1773 |    3 | tile.natura.barley_crop.name   |       33 |
| natura:bluebells_flower               | 1756 |    0 | Bluebells                      |       19 |
| natura:overworld_berrybush_blackberry | 1771 |    0 | Blackberry Bush                |        1 |
| natura:overworld_berrybush_blackberry | 1771 |    2 | Blackberry Bush                |        6 |
| natura:overworld_berrybush_blackberry | 1771 |    3 | Blackberry Bush                |        1 |
| natura:overworld_berrybush_blueberry  | 1770 |    0 | Blueberry Bush                 |        2 |
| natura:overworld_berrybush_blueberry  | 1770 |    1 | Blueberry Bush                 |        1 |
| natura:overworld_berrybush_blueberry  | 1770 |    2 | Blueberry Bush                 |       13 |
| natura:overworld_berrybush_blueberry  | 1770 |    3 | Blueberry Bush                 |        3 |
| natura:overworld_berrybush_maloberry  | 1772 |    0 | Maloberry Bush                 |        1 |
| natura:overworld_berrybush_maloberry  | 1772 |    1 | Maloberry Bush                 |        2 |
| natura:overworld_berrybush_maloberry  | 1772 |    2 | Maloberry Bush                 |        2 |
| natura:overworld_berrybush_raspberry  | 1769 |    0 | Raspberry Bush                 |        2 |
| natura:overworld_berrybush_raspberry  | 1769 |    1 | Raspberry Bush                 |        5 |
| natura:overworld_berrybush_raspberry  | 1769 |    2 | Raspberry Bush                 |        8 |
| natura:overworld_berrybush_raspberry  | 1769 |    3 | Raspberry Bush                 |        1 |
| natura:overworld_leaves               | 1750 |    0 | Maple Leaves                   |      235 |
| natura:overworld_leaves               | 1750 |    2 | Amaranth Leaves                |      349 |
| natura:overworld_leaves               | 1750 |    3 | Tiger Leaves                   |       43 |
| natura:overworld_leaves               | 1750 |    8 | Maple Leaves                   |      113 |
| natura:overworld_leaves               | 1750 |   10 | Amaranth Leaves                |      134 |
| natura:overworld_leaves               | 1750 |   11 | Tiger Leaves                   |       66 |
| natura:overworld_leaves2              | 1751 |    1 | Eucalyptus Leaves              |     8130 |
| natura:overworld_leaves2              | 1751 |    2 | Hopseed Leaves                 |      341 |
| natura:overworld_leaves2              | 1751 |    3 | Sakura Leaves                  |      332 |
| natura:overworld_leaves2              | 1751 |    9 | Eucalyptus Leaves              |      390 |
| natura:overworld_leaves2              | 1751 |   10 | Hopseed Leaves                 |        4 |
| natura:overworld_leaves2              | 1751 |   11 | Sakura Leaves                  |      153 |
| natura:overworld_logs                 | 1747 |    0 | Maple Wood                     |       32 |
| natura:overworld_logs                 | 1747 |    2 | Amaranth Wood                  |      105 |
| natura:overworld_logs                 | 1747 |    3 | Tiger Wood                     |       17 |
| natura:overworld_logs2                | 1748 |    1 | Eucalyptus Wood                |     1747 |
| natura:overworld_logs2                | 1748 |    2 | Hopseed Wood                   |       17 |
| natura:overworld_logs2                | 1748 |    3 | Sakura Wood                    |       31 |
| natura:redwood_leaves                 | 1752 |    0 | Redwood Leaves                 |     3521 |
| natura:redwood_leaves                 | 1752 |    8 | Redwood Leaves                 |       97 |
| natura:redwood_logs                   | 1749 |    0 | Redwood Bark                   |       36 |
| oreberries:aluminum_oreberry_bush     | 1908 |    3 | Aluminum Oreberry Bush         |      759 |
| oreberries:copper_oreberry_bush       | 1906 |    3 | Copper Oreberry Bush           |      274 |
| oreberries:essence_oreberry_bush      | 1909 |    3 | Essence Berry Bush             |      146 |
| oreberries:gold_oreberry_bush         | 1905 |    3 | Gold Oreberry Bush             |       48 |
| oreberries:iron_oreberry_bush         | 1904 |    3 | Iron Oreberry Bush             |      204 |
| oreberries:tin_oreberry_bush          | 1907 |    3 | Tin Oreberry Bush              |      358 |
| quark:andesite_speleothem             |  444 |    0 | Andesite Speleothem            |       83 |
| quark:andesite_speleothem             |  444 |    1 | Andesite Speleothem            |       88 |
| quark:andesite_speleothem             |  444 |    2 | Andesite Speleothem            |       60 |
| quark:biome_cobblestone               |  471 |    2 | Cobbedstone                    |      247 |
| quark:crystal                         |  439 |    2 | Orange Cave Crystal            |       44 |
| quark:crystal                         |  439 |    5 | Blue Cave Crystal              |      296 |
| quark:crystal                         |  439 |    6 | Indigo Cave Crystal            |      203 |
| quark:crystal                         |  439 |    7 | Violet Cave Crystal            |      189 |
| quark:crystal                         |  439 |    8 | Black Cave Crystal             |       96 |
| quark:diorite_speleothem              |  443 |    0 | Diorite Speleothem             |       62 |
| quark:diorite_speleothem              |  443 |    1 | Diorite Speleothem             |       65 |
| quark:diorite_speleothem              |  443 |    2 | Diorite Speleothem             |       46 |
| quark:granite_speleothem              |  442 |    0 | Granite Speleothem             |       66 |
| quark:granite_speleothem              |  442 |    1 | Granite Speleothem             |       70 |
| quark:granite_speleothem              |  442 |    2 | Granite Speleothem             |       51 |
| quark:monster_box                     |  455 |    0 | Monster Box                    |        5 |
| quark:roots                           |  433 |    1 | Cave Roots                     |     1285 |
| quark:roots                           |  433 |    2 | Cave Roots                     |     1336 |
| quark:roots                           |  433 |    4 | Cave Roots                     |     1130 |
| quark:roots                           |  433 |    8 | Cave Roots                     |     1172 |
| quark:roots_black_flower              |  435 |    1 | Cave Roots                     |       53 |
| quark:roots_black_flower              |  435 |    2 | Cave Roots                     |       38 |
| quark:roots_black_flower              |  435 |    4 | Cave Roots                     |       60 |
| quark:roots_black_flower              |  435 |    8 | Cave Roots                     |       49 |
| quark:roots_blue_flower               |  434 |    1 | Cave Roots                     |       28 |
| quark:roots_blue_flower               |  434 |    2 | Cave Roots                     |       18 |
| quark:roots_blue_flower               |  434 |    4 | Cave Roots                     |       25 |
| quark:roots_blue_flower               |  434 |    8 | Cave Roots                     |       33 |
| quark:roots_white_flower              |  436 |    1 | Cave Roots                     |       59 |
| quark:roots_white_flower              |  436 |    2 | Cave Roots                     |       46 |
| quark:roots_white_flower              |  436 |    4 | Cave Roots                     |       77 |
| quark:roots_white_flower              |  436 |    8 | Cave Roots                     |       64 |
| quark:stone_speleothem                |  441 |    0 | Stone Speleothem               |     1244 |
| quark:stone_speleothem                |  441 |    1 | Stone Speleothem               |     1284 |
| quark:stone_speleothem                |  441 |    2 | Stone Speleothem               |      856 |
| quark:variant_leaves                  |  437 |    5 | Blossoming Leaves              |      209 |
| quark:variant_leaves                  |  437 |   13 | Blossoming Leaves              |       72 |
| thermalfoundation:ore                 |  253 |    0 | Copper Ore                     |    21052 |
| thermalfoundation:ore                 |  253 |    1 | Tin Ore                        |    23483 |
| thermalfoundation:ore                 |  253 |    4 | Aluminum Ore                   |    20900 |
+---------------------------------------+------+------+--------------------------------+----------+
| Registry name                         |   ID | meta | Display name                   |    Count |
+---------------------------------------+------+------+--------------------------------+----------+
